Player_Name,Team,Matches,Runs,Batting_Average,Strike_Rate,Fours,Sixes,Wickets,Bowling_Average,Economy_Rate,Catches
Ethan Bose,Pakistan,113,3138,36.93,69.72,325,29,85,27.18,4.68,33
Nathan Thompson,Pakistan,19,167,13.87,139.6,18,1,81,23.48,3.9,69
Kumar Ross,Pakistan,55,1550,32.53,131.12,183,43,14,73.23,5.79,46
Suresh de Zoysa,England,129,,37.87,89.76,328,22,10,53.56,7.43,50
Thabo Hussain,Australia,94,596,10.47,92.76,30,8,308,24.0,4.05,3
Fraser Pillai,Sri Lanka,72,2835,43.47,72.38,214,47,10,59.74,6.21,60
Connor Verma,South Africa,30,1229,44.66,80.3,65,10,3,75.91,5.61,59
Sipho Khanna,India,204,7292,39.79,87.01,389,62,2,57.62,6.36,108
Ben Fernando,New Zealand,65,3414,57.56,103.36,326,112,0,,,12
Blake Verma,Sri Lanka,54,1143,26.59,82.57,133,21,72,36.48,5.95,64
Karan Rao,South Africa,219,5707,32.48,115.97,668,103,69,26.11,4.56,59
Devon Malik,England,143,1360,17.31,96.96,71,7,126,21.17,3.93,40
Karan Reid,Sri Lanka,86,707,15.26,144.04,82,12,256,23.37,5.11,30
Craig Hughes,England,91,4096,47.58,109.59,317,44,12,67.96,6.1,22
Vikram Perera,Australia,191,5115,31.79,127.4,568,168,134,25.7,5.85,52
James Naidu,Pakistan,136,4205,35.97,101.83,459,32,6,53.08,6.8,118
Cole Verma,New Zealand,17,874,55.8,121.76,101,34,8,66.76,5.59,
Jack Shah,Australia,84,2439,35.29,76.95,278,60,126,35.65,4.89,91
Thabo Bailey,England,187,7011,42.69,74.48,789,83,9,61.26,6.43,12
Yash Malik,England,36,1712,50.21,,199,40,15,74.01,5.82,20
James Foster,South Africa,142,1005,11.99,84.53,62,24,310,23.13,4.57,42
Josh Verma,New Zealand,215,2167,18.67,129.07,255,40,302,,4.27,53
Nathan Mackenzie,Australia,199,7795,40.33,68.92,895,73,4,67.56,6.07,62
Nathan Reid,Sri Lanka,31,271,14.07,105.65,28,6,342,20.39,,33
Dev Fernando,India,164,3094,22.79,126.14,310,68,131,35.19,5.39,38
Owen Steyn,England,160,7382,54.12,95.15,543,52,12,59.49,6.55,37
Nuwan Ellis,England,48,341,11.35,136.82,28,2,137,26.44,4.12,2
Tyler Coetzee,Pakistan,70,1839,34.98,144.16,218,63,130,34.47,4.71,3
Manoj Fernando,Australia,36,1108,,87.55,66,26,15,74.09,5.86,80
Zane Ross,England,29,762,36.12,129.13,42,26,74,37.2,5.45,10
Ethan Khanna,India,113,4563,43.37,83.28,508,36,2,48.95,7.34,36
Karan Bryant,South Africa,156,2960,24.42,99.57,250,101,97,26.38,5.73,52
Nuwan Walker,Sri Lanka,143,5387,43.32,127.08,325,53,14,72.18,6.72,81
Rassie Bose,Sri Lanka,26,145,8.93,120.43,13,1,155,21.98,4.71,63
Kabir Scott,England,158,3238,28.06,70.8,216,24,93,26.58,5.16,87
Yash Reid,England,132,6992,57.84,139.44,386,57,8,58.54,7.33,97
Karan Sharma,India,123,1142,13.68,139.15,123,39,330,18.0,4.35,59
Kabir Graham,India,209,2669,18.36,93.46,175,63,213,24.22,5.07,66
Dean Bailey,South Africa,219,2829,19.34,123.49,202,71,322,26.36,3.89,89
Trent Clarke,Sri Lanka,142,5737,44.48,87.27,453,100,4,73.67,7.23,115
Nathan Thompson,Pakistan,19,167,13.87,139.6,18,1,81,23.48,3.9,69
Trent Joshi,New Zealand,177,1887,19.82,69.21,94,19,305,19.95,4.28,14
James Botha,Pakistan,80,653,15.98,87.55,43,9,275,28.45,4.74,60
Kyle Rao,New Zealand,118,3926,38.32,90.96,289,74,,49.23,6.16,120
Blake Verma,Sri Lanka,54,1143,26.59,82.57,133,21,72,36.48,5.95,64
Josh Bose,Pakistan,53,2031,43.33,99.22,105,64,6,72.06,7.07,53
Connor van Dyk,Pakistan,52,2729,54.76,76.14,236,61,13,70.68,7.12,108
Vikram Steyn,Australia,190,2182,18.35,95.76,207,43,190,19.11,5.06,41
Zaheer Botha,Australia,171,5124,35.35,129.27,327,113,143,28.11,5.1,95
Lasith Mackenzie,South Africa,48,2279,49.79,99.7,253,77,3,63.43,7.37,29
Mitchell van Dyk,India,33,592,22.67,102.93,34,13,72,37.42,5.4,61
Trent Joshi,New Zealand,177,1887,19.82,69.21,94,19,305,19.95,4.28,14
Karan Ellis,Australia,89,691,11.91,124.19,77,19,294,28.01,3.89,106
